f-end f-init score video-frames video-name
277 143 1.0 300 video_test_0000560
223 180 0.97273106279087673 300 video_test_0000560
207 164 0.96358463142063833 300 video_test_0000560
187 144 0.9601728990207421 300 video_test_0000560
279 236 0.95455768645847461 300 video_test_0000560
230 135 0.93653265268660146 300 video_test_0000560
239 196 0.93298108452704143 300 video_test_0000560
255 212 0.89986326253309479 300 video_test_0000560
267 224 0.86169914734118347 300 video_test_0000560
175 132 0.80189924844097882 300 video_test_0000560
215 99 0.75261287664682575 300 video_test_0000560
264 44 0.63499483570759652 300 video_test_0000560
163 120 0.56262590114455735 300 video_test_0000560
182 66 0.53844220175881774 300 video_test_0000560
151 108 0.39089131675189237 300 video_test_0000560
175 0 0.33716179106257893 300 video_test_0000560
139 96 0.21919753118814311 300 video_test_0000560
113 18 0.15295401324259417 300 video_test_0000560
140 45 0.14540316352339921 300 video_test_0000560
79 36 0.13554562771610312 300 video_test_0000560
63 20 0.12285131698963025 300 video_test_0000560
95 52 0.11552950030192821 300 video_test_0000560
107 64 0.11545989783300969 300 video_test_0000560
123 80 0.10663192402210941 300 video_test_0000560
47 4 0.071960587533331344 300 video_test_0000560
