f-end f-init score video-frames video-name
1070 936 1.0 1500 video_test_0000560
1013 918 0.9819012474075719 1500 video_test_0000560
1085 990 0.98085749793669941 1500 video_test_0000560
1144 924 0.97319515233373743 1500 video_test_0000560
1079 1036 0.97035885694777924 1500 video_test_0000560
1047 1004 0.96685888175991563 1500 video_test_0000560
1015 972 0.966662075296014 1500 video_test_0000560
995 952 0.96590299239429489 1500 video_test_0000560
979 936 0.96520904212946124 1500 video_test_0000560
1063 1020 0.96056178937929004 1500 video_test_0000560
1036 885 0.95950869723307042 1500 video_test_0000560
1031 988 0.95676221362470515 1500 video_test_0000560
963 920 0.9545170142404632 1500 video_test_0000560
1178 1003 0.95429028433736518 1500 video_test_0000560
1112 1017 0.94218208351291677 1500 video_test_0000560
1095 1052 0.93305687965382422 1500 video_test_0000560
277 143 0.92281720740999695 1500 video_test_0000560
550 416 0.91999304232682744 1500 video_test_0000560
1329 950 0.91472407293428037 1500 video_test_0000560
1139 1044 0.91364319697309371 1500 video_test_0000560
616 465 0.90949743849679054 1500 video_test_0000560
295 252 0.90768860970622145 1500 video_test_0000560
1229 875 0.90592901910832202 1500 video_test_0000560
986 891 0.90516990665112118 1500 video_test_0000560
459 416 0.90375117865867749 1500 video_test_0000560
626 531 0.90210336493498122 1500 video_test_0000560
555 512 0.90186188695356762 1500 video_test_0000560
293 198 0.90169555008177449 1500 video_test_0000560
331 180 0.90061927673885089 1500 video_test_0000560
223 180 0.8982762888331729 1500 video_test_0000560
307 264 0.89672601349981407 1500 video_test_0000560
599 504 0.89557100939763679 1500 video_test_0000560
1183 1067 0.89316982541383338 1500 video_test_0000560
631 588 0.89015910831374523 1500 video_test_0000560
207 164 0.89004487791296905 1500 video_test_0000560
187 144 0.88697445949549758 1500 video_test_0000560
617 176 0.88512069788298797 1500 video_test_0000560
947 904 0.88454233540001137 1500 video_test_0000560
1254 1034 0.88442634043266888 1500 video_test_0000560
279 236 0.88192099983092143 1500 video_test_0000560
1111 1068 0.88028688854455139 1500 video_test_0000560
347 252 0.87773026740436244 1500 video_test_0000560
539 496 0.87629013382453502 1500 video_test_0000560
615 572 0.87554427222097853 1500 video_test_0000560
1171 1128 0.87532741646228562 1500 video_test_0000560
1092 832 0.87511906419012586 1500 video_test_0000560
572 477 0.87197717006819986 1500 video_test_0000560
471 428 0.8709013855322445 1500 video_test_0000560
653 558 0.87033255400070342 1500 video_test_0000560
230 135 0.86569921301364683 1500 video_test_0000560
668 493 0.86438263674966187 1500 video_test_0000560
379 204 0.86396169396281275 1500 video_test_0000560
595 552 0.86312733275346243 1500 video_test_0000560
239 196 0.86250294818105033 1500 video_test_0000560
1155 1112 0.85811133412937757 1500 video_test_0000560
483 440 0.85803119148258367 1500 video_test_0000560
571 528 0.85661996264098261 1500 video_test_0000560
468 208 0.85467126422909734 1500 video_test_0000560
546 286 0.85273839217413316 1500 video_test_0000560
647 604 0.84884340531641223 1500 video_test_0000560
1320 1100 0.84795083680685424 1500 video_test_0000560
1323 1280 0.84631322702476097 1500 video_test_0000560
1139 1096 0.8462384132137577 1500 video_test_0000560
624 364 0.84084246597741119 1500 video_test_0000560
323 280 0.83906271362673734 1500 video_test_0000560
1216 1100 0.83724213732165298 1500 video_test_0000560
931 888 0.83717402592755163 1500 video_test_0000560
1127 1084 0.83685456197225405 1500 video_test_0000560
523 480 0.83518470171945447 1500 video_test_0000560
320 225 0.83501649956245039 1500 video_test_0000560
374 279 0.83471925194365448 1500 video_test_0000560
1187 1144 0.83409955162016258 1500 video_test_0000560
255 212 0.83269827457890933 1500 video_test_0000560
1328 1233 0.83214685785615372 1500 video_test_0000560
1364 1269 0.82572486803178691 1500 video_test_0000560
1335 1292 0.82450718826894864 1500 video_test_0000560
1338 754 0.82394826427745893 1500 video_test_0000560
1307 1264 0.8235634335036901 1500 video_test_0000560
1365 1190 0.82273195709647817 1500 video_test_0000560
991 840 0.82248551295894279 1500 video_test_0000560
503 460 0.82246330775379528 1500 video_test_0000560
1265 1131 0.82144384007830384 1500 video_test_0000560
485 351 0.8207676471689821 1500 video_test_0000560
1144 190 0.82049870235859323 1500 video_test_0000560
500 405 0.81993126469965438 1500 video_test_0000560
583 540 0.81743702797461226 1500 video_test_0000560
1304 1188 0.81122568079668744 1500 video_test_0000560
363 320 0.80795133589031409 1500 video_test_0000560
339 296 0.80422075087444789 1500 video_test_0000560
421 270 0.80166612874829801 1500 video_test_0000560
1259 518 0.80142805959737895 1500 video_test_0000560
959 864 0.80046762119796233 1500 video_test_0000560
267 224 0.79835214527072795 1500 video_test_0000560
364 104 0.79587703337463966 1500 video_test_0000560
435 319 0.79510505511306739 1500 video_test_0000560
719 403 0.7941834352336391 1500 video_test_0000560
526 375 0.79197074268266032 1500 video_test_0000560
758 250 0.78370010985799687 1500 video_test_0000560
1404 1050 0.7787007112142238 1500 video_test_0000560
1359 1316 0.77719521224423138 1500 video_test_0000560
1295 1252 0.77508256486000537 1500 video_test_0000560
1199 1156 0.7742900713331361 1500 video_test_0000560
1156 690 0.77374756905862019 1500 video_test_0000560
680 585 0.76984596101200042 1500 video_test_0000560
691 540 0.76943649306911877 1500 video_test_0000560
379 336 0.76649782544802592 1500 video_test_0000560
351 308 0.76262818012151035 1500 video_test_0000560
990 406 0.76061773493394202 1500 video_test_0000560
443 400 0.76011652649125061 1500 video_test_0000560
1283 1240 0.75923336192635538 1500 video_test_0000560
1347 1304 0.75469523789647486 1500 video_test_0000560
1247 1204 0.74908402313599054 1500 video_test_0000560
512 46 0.74738245684877147 1500 video_test_0000560
175 132 0.74453470315489656 1500 video_test_0000560
401 306 0.74254792050949092 1500 video_test_0000560
1271 1228 0.74179776064065428 1500 video_test_0000560
1014 754 0.73876662438997642 1500 video_test_0000560
1231 1188 0.73272619866797206 1500 video_test_0000560
659 616 0.73100289985121503 1500 video_test_0000560
1215 1172 0.72836377984314271 1500 video_test_0000560
718 0 0.72081162433642521 1500 video_test_0000560
835 456 0.71598025954096323 1500 video_test_0000560
941 825 0.71499241741281727 1500 video_test_0000560
1259 1216 0.70581285834461704 1500 video_test_0000560
215 99 0.70017900172540637 1500 video_test_0000560
286 66 0.69434499304953357 1500 video_test_0000560
391 348 0.68124889685468781 1500 video_test_0000560
984 630 0.67424150864245158 1500 video_test_0000560
1396 1245 0.67347785499779844 1500 video_test_0000560
915 872 0.66930488749881722 1500 video_test_0000560
770 550 0.66616475251774587 1500 video_test_0000560
721 605 0.64079890214487745 1500 video_test_0000560
1463 1147 0.63782039646851574 1500 video_test_0000560
427 384 0.63635398861584225 1500 video_test_0000560
403 360 0.60762169500803176 1500 video_test_0000560
908 792 0.60236865729588263 1500 video_test_0000560
675 632 0.59505299608453521 1500 video_test_0000560
858 598 0.58452680490988007 1500 video_test_0000560
895 852 0.57934810252128699 1500 video_test_0000560
924 704 0.55912991915276966 1500 video_test_0000560
1400 1305 0.55510981013121619 1500 video_test_0000560
758 624 0.54494189243838287 1500 video_test_0000560
