f-end f-init score video-frames video-name
979 936 1.0 1000 video_test_0000560
963 920 0.98865387458706677 1000 video_test_0000560
277 143 0.95501479436783854 1000 video_test_0000560
550 416 0.95201785762645186 1000 video_test_0000560
616 465 0.9408801727479269 1000 video_test_0000560
295 252 0.93896068670455057 1000 video_test_0000560
459 416 0.93478237862922464 1000 video_test_0000560
626 531 0.93303375794095955 1000 video_test_0000560
555 512 0.93277750725680253 1000 video_test_0000560
293 198 0.93260099452902501 1000 video_test_0000560
331 180 0.93145887888415535 1000 video_test_0000560
223 180 0.92897255590643812 1000 video_test_0000560
307 264 0.92732744063555805 1000 video_test_0000560
599 504 0.9261017777835896 1000 video_test_0000560
631 588 0.92035879721360736 1000 video_test_0000560
207 164 0.92023757863219036 1000 video_test_0000560
187 144 0.91697932371586532 1000 video_test_0000560
617 176 0.91501215603172026 1000 video_test_0000560
947 904 0.91439841153590384 1000 video_test_0000560
279 236 0.9116167126453798 1000 video_test_0000560
977 882 0.90978841974808367 1000 video_test_0000560
347 252 0.90716960717788375 1000 video_test_0000560
539 496 0.90564137171331738 1000 video_test_0000560
615 572 0.9048498811389849 1000 video_test_0000560
572 477 0.90106455726905577 1000 video_test_0000560
471 428 0.89992296033450192 1000 video_test_0000560
653 558 0.89931932985741192 1000 video_test_0000560
230 135 0.89440253872426101 1000 video_test_0000560
668 493 0.8930054193413014 1000 video_test_0000560
379 204 0.89255872487876875 1000 video_test_0000560
595 552 0.89167332062999038 1000 video_test_0000560
239 196 0.89101073858867541 1000 video_test_0000560
483 440 0.88626541685516824 1000 video_test_0000560
571 528 0.8847678544105706 1000 video_test_0000560
468 208 0.88269994205542368 1000 video_test_0000560
546 286 0.8806488242534074 1000 video_test_0000560
647 604 0.87651555694170291 1000 video_test_0000560
624 364 0.86802515062177665 1000 video_test_0000560
323 280 0.86613651980409168 1000 video_test_0000560
931 888 0.8641322893883745 1000 video_test_0000560
523 480 0.86202126590560946 1000 video_test_0000560
320 225 0.86184277378157947 1000 video_test_0000560
374 279 0.8615273416861372 1000 video_test_0000560
255 212 0.85938272862721576 1000 video_test_0000560
503 460 0.84852162553240917 1000 video_test_0000560
485 351 0.84672223089438581 1000 video_test_0000560
500 405 0.84583468173264675 1000 video_test_0000560
583 540 0.84318785710913513 1000 video_test_0000560
363 320 0.83312186652865228 1000 video_test_0000560
339 296 0.82916305853702865 1000 video_test_0000560
421 270 0.82645215436367014 1000 video_test_0000560
267 224 0.82293543400498215 1000 video_test_0000560
364 104 0.82030890419458402 1000 video_test_0000560
435 319 0.81948969924461657 1000 video_test_0000560
719 403 0.81851169817282687 1000 video_test_0000560
526 375 0.81616364152311482 1000 video_test_0000560
964 160 0.81307820911263107 1000 video_test_0000560
