f-end f-init score video-frames video-name
179 136 1.0 200 video_test_0000560
167 124 0.83433624701316855 200 video_test_0000560
182 66 0.64362145975963936 200 video_test_0000560
155 112 0.59825818687958698 200 video_test_0000560
175 0 0.40302294922282789 200 video_test_0000560
143 100 0.28332088307338754 200 video_test_0000560
113 18 0.18283203834641015 200 video_test_0000560
140 45 0.17380620622771825 200 video_test_0000560
79 36 0.16202310013907872 200 video_test_0000560
63 20 0.14684908373819738 200 video_test_0000560
95 52 0.13809702394563661 200 video_test_0000560
107 64 0.13801382533582873 200 video_test_0000560
123 80 0.12746139580424354 200 video_test_0000560
47 4 0.08601736313029551 200 video_test_0000560
